Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.21,-.18,-.27,-.14,-.28,-.23,-.07,-.17,-.16,-.19,-.22,-.20,***,***,-.20,-.20,-.17
1881,-.10,-.14,.01,-.04,-.05,-.29,-.07,-.03,-.09,-.20,-.27,-.16,-.12,-.12,-.15,-.03,-.13,-.19
1882,.09,.08,.01,-.20,-.18,-.25,-.11,.03,-.01,-.23,-.21,-.25,-.10,-.10,.00,-.12,-.11,-.15
1883,-.34,-.42,-.18,-.24,-.25,-.12,-.08,-.13,-.18,-.11,-.20,-.18,-.20,-.21,-.34,-.22,-.11,-.17
1884,-.18,-.11,-.34,-.36,-.32,-.38,-.34,-.25,-.23,-.22,-.30,-.29,-.28,-.27,-.16,-.34,-.32,-.25
1885,-.64,-.29,-.23,-.43,-.41,-.50,-.28,-.27,-.19,-.18,-.22,-.05,-.31,-.33,-.41,-.36,-.35,-.20
1886,-.42,-.45,-.40,-.29,-.26,-.38,-.16,-.30,-.18,-.24,-.25,-.25,-.30,-.28,-.31,-.32,-.28,-.23
1887,-.66,-.47,-.31,-.37,-.33,-.20,-.18,-.27,-.19,-.32,-.25,-.37,-.33,-.32,-.46,-.33,-.22,-.25
1888,-.42,-.42,-.47,-.28,-.22,-.20,-.09,-.11,-.07,.02,.00,-.12,-.20,-.22,-.41,-.32,-.13,-.02
1889,-.19,.15,.05,.05,-.02,-.11,-.04,-.17,-.17,-.21,-.30,-.30,-.11,-.09,-.05,.03,-.11,-.23
1890,-.47,-.48,-.41,-.37,-.47,-.27,-.29,-.35,-.35,-.22,-.37,-.30,-.36,-.36,-.42,-.42,-.30,-.31
1891,-.46,-.49,-.14,-.25,-.17,-.22,-.21,-.20,-.13,-.23,-.37,-.02,-.24,-.26,-.41,-.19,-.21,-.24
1892,-.25,-.15,-.36,-.35,-.24,-.19,-.27,-.19,-.24,-.16,-.50,-.28,-.26,-.24,-.14,-.32,-.22,-.30
1893,-.68,-.51,-.24,-.32,-.34,-.23,-.13,-.23,-.18,-.16,-.16,-.38,-.30,-.29,-.49,-.30,-.20,-.17
1894,-.55,-.32,-.21,-.41,-.29,-.43,-.32,-.27,-.22,-.16,-.25,-.22,-.30,-.32,-.41,-.30,-.34,-.21
1895,-.44,-.42,-.29,-.22,-.23,-.24,-.16,-.15,-.01,-.10,-.15,-.12,-.21,-.22,-.36,-.24,-.19,-.09
1896,-.23,-.15,-.30,-.32,-.20,-.14,-.06,-.09,-.04,.04,-.16,-.12,-.15,-.15,-.16,-.27,-.10,-.05
1897,-.22,-.19,-.12,-.01,.00,-.12,-.05,-.03,-.04,-.09,-.18,-.26,-.11,-.10,-.18,-.05,-.07,-.11
1898,-.07,-.33,-.55,-.33,-.36,-.21,-.23,-.23,-.19,-.32,-.36,-.22,-.28,-.28,-.22,-.41,-.22,-.29
1899,-.18,-.40,-.35,-.21,-.20,-.26,-.13,-.04,-.01,.00,.12,-.27,-.16,-.16,-.27,-.26,-.14,.04
1900,-.40,-.07,.02,-.15,-.06,-.15,-.09,-.04,.01,.08,-.13,-.14,-.09,-.10,-.25,-.06,-.09,-.01
1901,-.30,-.06,.05,-.06,-.18,-.10,-.09,-.12,-.17,-.29,-.17,-.30,-.15,-.14,-.16,-.06,-.10,-.21
1902,-.20,-.05,-.29,-.28,-.31,-.35,-.26,-.29,-.21,-.29,-.37,-.47,-.28,-.27,-.18,-.30,-.30,-.29
1903,-.28,-.07,-.22,-.40,-.42,-.45,-.30,-.44,-.43,-.42,-.39,-.49,-.36,-.36,-.27,-.35,-.40,-.42
1904,-.65,-.55,-.47,-.49,-.50,-.49,-.49,-.44,-.47,-.35,-.16,-.29,-.45,-.46,-.56,-.49,-.47,-.33
