Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.87,-.44,-.51,-.70,-.39,-.52,-.51,.03,-.54,-.71,-.55,-.57,-.53,***,***,-.54,-.34,-.60
1881,-.81,-.67,-.40,-.32,-.08,-1.18,-.59,-.31,-.37,-.54,-.62,-.19,-.51,-.54,-.68,-.27,-.69,-.51
1882,.07,-.17,-.13,-.63,-.41,-1.07,-.75,-.16,-.12,-.36,-.44,-.71,-.41,-.36,-.10,-.39,-.66,-.31
1883,-.72,-.99,-.50,-.36,-.39,.40,-.07,-.22,-.52,-.62,-.74,-.45,-.43,-.45,-.81,-.42,.04,-.63
1884,-.65,-.40,-.45,-.99,-1.25,-.88,-.91,.09,-.43,-.85,-.88,-1.05,-.72,-.67,-.50,-.89,-.57,-.72
1885,-.96,-.83,-.96,-.91,-.53,-.98,-.66,-.21,-.20,-.08,-.43,-.03,-.56,-.65,-.95,-.80,-.61,-.24
1886,-.79,-.85,-.72,-.67,-.61,-.88,-.44,-.77,-.46,-.90,-.54,-.79,-.70,-.64,-.56,-.66,-.70,-.63
1887,-.90,-1.31,-.63,-.87,-.90,-.70,-.45,-.30,-.66,-.57,-.96,-.69,-.74,-.75,-1.00,-.80,-.48,-.73
1888,-.77,-.87,-.95,-.36,-.80,-.60,-.40,-.40,-.46,-.32,-.10,-.28,-.53,-.56,-.78,-.70,-.47,-.29
1889,-.33,.12,.04,.08,.04,-.29,-.46,-.63,-.40,-.25,-.47,-.46,-.25,-.24,-.17,.05,-.46,-.37
1890,-.64,-.64,-.65,-.55,-.94,-.59,-.62,-.64,-.37,-.29,-.79,-.55,-.61,-.60,-.58,-.71,-.62,-.48
1891,-.98,-1.06,-.55,-.70,-.51,-.60,-.76,-.61,-.54,-.58,-.57,.02,-.62,-.67,-.86,-.58,-.66,-.56
1892,-.62,-.32,-.59,-.72,-.66,-.57,-.40,-.30,-.49,-.37,-.65,-.62,-.53,-.47,-.31,-.66,-.42,-.50
1893,-1.45,-1.02,-.62,-.69,-.76,-.70,-.17,-.35,-.29,-.12,-.17,-.41,-.56,-.58,-1.03,-.69,-.41,-.19
1894,-.89,-.65,-.44,-.69,-.69,-.51,-.40,-.35,-.46,-.12,-.19,-.20,-.47,-.48,-.65,-.61,-.42,-.26
1895,-.72,-.82,-.54,-.51,-.34,-.32,-.56,-.23,-.18,-.13,-.20,-.12,-.39,-.40,-.58,-.46,-.37,-.17
1896,-.26,-.33,-.57,-.51,-.50,-.51,-.25,-.42,-.14,-.07,-.49,-.25,-.36,-.35,-.24,-.53,-.39,-.23
1897,-.30,-.57,-.37,-.16,-.31,-.23,-.15,-.36,-.20,-.27,-.06,-.28,-.27,-.27,-.37,-.28,-.25,-.17
1898,-.17,-.48,-.86,-.62,-.68,-.36,-.40,-.28,-.07,-.45,-.55,-.25,-.43,-.43,-.31,-.72,-.35,-.36
1899,-.47,-.65,-.42,-.30,-.45,-.58,-.35,-.33,-.06,-.32,-.06,-.25,-.35,-.35,-.46,-.39,-.42,-.15
1900,-.59,-.10,-.22,-.21,-.22,-.17,-.40,-.21,-.12,.10,-.17,-.10,-.20,-.21,-.31,-.21,-.26,-.06
1901,-.25,-.15,-.16,-.13,-.24,-.02,-.30,-.26,-.02,-.24,-.19,-.27,-.19,-.17,-.17,-.18,-.19,-.15
1902,-.34,-.08,-.23,-.25,-.37,-.39,-.49,-.56,-.46,-.49,-.54,-.60,-.40,-.37,-.23,-.29,-.48,-.50
1903,-.38,-.18,-.23,-.61,-.50,-.68,-.35,-.48,-.46,-.53,-.51,-.64,-.46,-.46,-.39,-.45,-.51,-.50
1904,-.81,-.78,-.59,-.49,-.68,-.53,-.64,-.54,-.48,-.56,-.30,-.45,-.57,-.59,-.75,-.58,-.57,-.45
1905,-.45,-1.01,-.28,-.36,-.38,-.34,-.46,-.30,-.25,-.41,-.12,-.28,-.39,-.40,-.64,-.34,-.37,-.26
1906,-.20,-.36,-.37,.02,-.23,-.26,-.25,-.20,-.33,-.21,-.57,-.29,-.27,-.27,-.28,-.20,-.23,-.37
1907,-.51,-.70,-.47,-.63,-.62,-.70,-.46,-.58,-.42,-.36,-.63,-.69,-.56,-.53,-.50,-.57,-.58,-.47
1908,-.40,-.35,-.54,-.48,-.36,-.45,-.42,-.42,-.19,-.43,-.61,-.42,-.42,-.44,-.48,-.46,-.43,-.41
1909,-.80,-.60,-.52,-.64,-.61,-.45,-.37,-.12,-.22,-.20,-.17,-.57,-.44,-.43,-.61,-.59,-.31,-.19
1910,-.47,-.41,-.50,-.34,-.28,-.36,-.25,-.17,-.12,-.33,-.56,-.68,-.37,-.36,-.48,-.37,-.26,-.34
1911,-.68,-.68,-.64,-.56,-.41,-.40,-.18,-.28,-.28,-.20,-.16,-.26,-.39,-.43,-.68,-.53,-.29,-.21
1912,-.22,-.15,-.45,-.33,-.21,-.27,-.51,-.65,-.37,-.49,-.45,-.35,-.37,-.36,-.21,-.33,-.48,-.44
1913,-.47,-.51,-.60,-.33,-.65,-.63,-.27,-.24,-.23,-.33,-.17,.03,-.37,-.40,-.44,-.53,-.38,-.25
1914,.11,-.08,-.08,-.23,-.05,-.11,-.23,-.10,-.10,.10,-.36,-.23,-.11,-.09,.02,-.12,-.15,-.12
1915,-.18,.02,-.12,-.05,-.26,-.21,.02,-.22,-.02,-.10,.02,-.12,-.10,-.11,-.13,-.14,-.14,-.03
1916,-.08,-.12,-.47,-.31,-.36,-.48,-.36,-.11,-.18,-.15,-.40,-.82,-.32,-.26,-.11,-.38,-.32,-.24
1917,-.54,-.78,-.82,-.56,-.81,-.47,-.01,-.39,-.33,-.51,-.33,-.95,-.54,-.53,-.71,-.73,-.29,-.39
1918,-.65,-.61,-.50,-.57,-.79,-.45,-.48,-.50,-.19,-.01,-.27,-.36,-.45,-.50,-.74,-.62,-.48,-.16
1919,-.30,-.28,-.16,-.17,-.18,-.20,-.11,-.10,-.22,-.09,-.46,-.32,-.21,-.22,-.31,-.17,-.14,-.26
1920,-.14,-.32,-.19,-.24,-.34,-.41,-.24,-.18,-.19,-.47,-.36,-.51,-.30,-.28,-.26,-.26,-.28,-.34
1921,-.05,-.20,-.15,-.21,-.22,-.13,-.02,-.50,-.17,-.14,-.31,-.20,-.19,-.22,-.25,-.19,-.22,-.21
1922,-.40,-.47,-.33,-.12,-.40,-.35,-.06,-.27,-.15,-.29,-.13,-.17,-.26,-.27,-.36,-.29,-.22,-.19
1923,-.26,-.24,-.24,-.50,-.33,-.30,-.51,-.39,-.32,-.12,-.05,-.10,-.28,-.29,-.22,-.36,-.40,-.16
1924,-.28,-.43,-.15,-.53,-.29,-.18,-.17,-.18,-.12,-.16,-.10,-.28,-.24,-.23,-.27,-.32,-.18,-.13
1925,-.44,-.38,-.29,-.18,-.36,-.42,-.42,-.11,-.31,-.37,-.04,.14,-.27,-.30,-.37,-.28,-.32,-.24
1926,.24,.28,.19,-.13,-.38,-.25,-.18,.00,.00,-.14,.00,-.27,-.05,-.02,.22,-.11,-.14,-.05
1927,-.21,-.18,-.40,-.38,-.32,-.28,-.06,-.28,-.10,.12,.08,-.26,-.19,-.19,-.22,-.37,-.21,.03
1928,.06,-.02,-.12,-.11,-.42,-.56,-.08,-.06,.00,-.06,.05,-.06,-.11,-.13,-.07,-.22,-.23,.00
1929,-.30,-.50,-.38,-.46,-.43,-.45,-.38,-.39,-.21,.00,-.05,-.58,-.35,-.30,-.29,-.42,-.41,-.09
1930,-.22,-.20,-.08,-.22,-.16,-.23,-.20,-.17,-.12,-.29,.10,-.05,-.15,-.20,-.33,-.15,-.20,-.10
1931,-.13,-.27,-.06,-.28,-.18,-.09,.06,.08,-.17,.04,-.17,.07,-.09,-.10,-.15,-.18,.02,-.10
